ID,Country ,Country Code,YEAR,Population,Electricity 
CUW2019,Curacao,CUW,2019,157538,0
CUW2020,Curacao,CUW,2020,158000,0
CUW2016,Curacao,CUW,2016,159664,100
CUW2018,Curacao,CUW,2018,159800,100
CUW2017,Curacao,CUW,2017,160175,100
GUM2016,Guam,GUM,2016,162951,100
GUM2017,Guam,GUM,2017,164281,100
GUM2018,Guam,GUM,2018,165768,100
CHI2016,Channel Islands,CHI,2016,166923,0
GUM2019,Guam,GUM,2019,167294,0
CHI2017,Channel Islands,CHI,2017,168665,0
GUM2020,Guam,GUM,2020,169000,0
CHI2018,Channel Islands,CHI,2018,170499,0
CHI2019,Channel Islands,CHI,2019,172259,0
CHI2020,Channel Islands,CHI,2020,174000,0
LCA2016,St. Lucia,LCA,2016,180024,98.07876587
LCA2017,St. Lucia,LCA,2017,180955,98.80738831
LCA2018,St. Lucia,LCA,2018,181889,99.53749847
LCA2019,St. Lucia,LCA,2019,182790,0
LCA2020,St. Lucia,LCA,2020,184000,0
WSM2016,Samoa,WSM,2016,194535,99.94758606
WSM2017,Samoa,WSM,2017,195352,96.8
WSM2018,Samoa,WSM,2018,196130,100
WSM2019,Samoa,WSM,2019,197097,0
WSM2020,Samoa,WSM,2020,198000,0
STP2016,Sao Tome and Principe,STP,2016,203227,68.07398224
STP2017,Sao Tome and Principe,STP,2017,207089,69.74932861
STP2018,Sao Tome and Principe,STP,2018,211028,71
STP2019,Sao Tome and Principe,STP,2019,215056,0
STP2020,Sao Tome and Principe,STP,2020,219000,0
PYF2016,French Polynesia,PYF,2016,274575,100
PYF2017,French Polynesia,PYF,2017,276103,100
NCL2016,New Caledonia,NCL,2016,276550,100
PYF2018,French Polynesia,PYF,2018,277679,100
VUT2016,Vanuatu,VUT,2016,278330,57.82
PYF2019,French Polynesia,PYF,2019,279287,0
NCL2017,New Caledonia,NCL,2017,280350,100
PYF2020,French Polynesia,PYF,2020,281000,0
NCL2018,New Caledonia,NCL,2018,284060,100
VUT2017,Vanuatu,VUT,2017,285510,62.8
BRB2016,Barbados,BRB,2016,285796,100
BRB2017,Barbados,BRB,2017,286233,100
BRB2018,Barbados,BRB,2018,286641,100
BRB2020,Barbados,BRB,2020,287000,0
BRB2019,Barbados,BRB,2019,287025,0
NCL2019,New Caledonia,NCL,2019,287800,0
NCL2020,New Caledonia,NCL,2020,291000,0
VUT2018,Vanuatu,VUT,2018,292680,61.86476898
VUT2019,Vanuatu,VUT,2019,299882,0
VUT2020,Vanuatu,VUT,2020,307000,0
